TABLE S2: Oct4, Sox2, Nanog binding to Known Genes					
GENE	OCT4	SOX2	NANOG	E2F4	Expressed
ENST00000327975	508	508	-	-	0
ENST00000328281	-	-	2436	-	0
ENST00000329118	-	-	5232	-	0
ENST00000330469	-	-	376	-	0
ENST00000330543	-	-	1773	-	0
ENST00000330676	-	6688	6425	-	0
ENST00000331014	865	865	586	-	0
ENST00000331019	-	-	-	2612	0
ENST00000332835	-	-	681	-	0
ENST00000333380	6055	6055	6055	-	0
ENST00000334280	2740	-	-	-	0
ENST00000334440	1643	1643	1643	-	0
ENST00000334534	-	0	0	-	0
ENST00000334708	-	1190	773	-	0
ENST00000335342,ENST00000336377	437	437	-	-	0
ENST00000335498	-	-	-	0	0
ENST00000335507	-	-	-	0	0
ENST00000338461	-	375	95	375	0
ENST00000339485	-	378	-	657	0
ENST00000340225	-	-	0	-	0
ENST00000340457	-	-	-	0	0
ENST00000340967	-	-	-	338	0
ENST00000341482	-	-	7811	-	0
ENST00000343447	4004	-	3870	-	0
ENST00000343804	-	-	-	5150	0
ENST00000343904	-	4377	4377	-	0
ENST00000345108	-	-	-	3898	0
ENST00000354314	-	-	-	66	0
ENST00000354576	-	3909	-	-	0
ENST00000354929	-	2829	-	-	0
ENST00000355830	6053	6053	-	-	0
ENST00000355920	-	8000	-	-	0
ENST00000356236	-	-	-	1155	0
ENST00000356724	-	0	0	-	1
ENST00000356869	-	-	2709	-	0
ENST00000357217	-	2126	2126	-	0
ENST00000357878	-	2750	-	-	0
ENST00000358347	-	-	5191	-	0
ENST00000358410	-	-	-	0	1
ENST00000358688	-	7175	7175	-	0
ENST00000359178	-	-	1688	-	0
ENST00000359260	-	-	251	-	0
ENST00000359554	-	-	5108	-	0
ENST00000360566	-	-	-	0	0
ENST00000360940	-	1189	1189	1189	0
ENTPD1	81	-	0	-	1
EOMES	6354	6091	801	-	1
EPHA1	1484	1484	1484	-	1
EPHA4	4025	4025	4025	-	0
EPHA5	-	-	-	6696	0
EPHA7	-	-	330	-	0
EPHB3	-	-	2681	-	0
EPM2AIP1	-	66	0	66	1
EPS15L1	-	-	845	-	1
ERBB2	-	900	900	-	1
ERCC1	-	-	3361	-	1
ERH	-	-	0	-	1
ESM1	-	-	1390	-	0
ESPL1	-	-	-	291	1
EST1B	92	-	92	0	1
ESX1L	2890	2233	2233	-	0
ET	-	-	-	0	0
ETAA16	-	-	-	0	0
ETHE1	-	6627	-	-	1
ETNK1	-	-	319	-	1
ETV3	1806	-	1806	-	0
ETV5	-	1003	1003	-	0
EVA1	-	-	23	-	0
EVPL	-	-	2168	-	0
EVX1	1112	-	832	-	0
EXO1	-	-	-	0	1
EXOSC5	-	0	0	0	1
EXOSC9	4360	4360	4360	-	1
EXTL2	-	-	359	-	1
F11R	-	-	6951	-	1
F25965	-	-	0	-	1
F2R	-	-	-	136	0
FAM13C1	-	499	499	-	0
FAM20C	-	-	4110	-	1
FAM33A	0	0	0	0	1
FAM35A	-	-	1569	-	1
FAM46B	-	-	-	0	1
FAM46D	-	-	-	1064	0
FAM53C	-	-	-	5316	1
FAM54A	-	-	0	0	1
FANCA	-	-	6444	-	1
FANCC	-	211	-	0	1
FANCD2	-	-	-	0	1
FANCF	-	0	0	-	1
FANCL	-	-	0	0	1
FARSLA	-	4553	4299	4553	1
FAT	-	-	708	-	1
FBL	-	-	-	197	1
FBLN1	-	-	910	-	1
FBXL11	-	-	2393	-	1
FBXL14	-	6573	6573	-	1
FBXL17	-	-	710	-	0
FBXL19	-	0	-	-	1
FBXO11	-	354	-	-	1
FBXO15	-	-	-	333	0
FBXO16	-	0	-	-	1
FBXO31	-	-	4378	-	1
FBXO40	-	0	0	-	0
FBXW11	1792	1792	1792	-	1
FCHSD2	-	-	-	338	0
FDPS	-	-	137	-	1
FDXR	-	-	-	0	1
FEM1A	-	19	19	-	1
FEM1C	-	-	4130	-	1
FEN1	-	-	-	0	1
FERD3L	565	565	288	-	0
FEZ1	858	858	1138	-	1
FGF1	819	819	819	-	0
FGF19	-	743	743	-	0
FGF2	1255	1255	1053	-	1
FGF20	0	0	-	-	0
FGF3	0	-	-	-	0
FGF8	-	-	3048	-	0
FGFR1	5437	5437	5437	-	1
FGFR2	870	870	870	-	1
FGIF	-	-	0	0	1
FHIT	-	-	650	-	1
FHL3	-	-	-	7089	0
FHOD1	-	-	-	0	1
FIBL-6	196	0	0	-	0
FIP1L1	-	0	-	-	1
FKBP14	-	0	0	-	0
FKBP1B	-	-	1913	-	1
FKBP3	-	-	-	0	1
FKBP7	-	0	3641	-	0
FKSG24	-	-	0	0	1
FLI1	4606	5759	6026	-	0
FLJ10006	-	297	16	0	1
FLJ10036	-	-	-	0	1
FLJ10156	-	-	-	0	1
FLJ10233	7599	-	-	7599	1
FLJ10287	-	-	-	76	0
FLJ10357	-	-	-	0	1
FLJ10374	0	0	0	-	1
FLJ10514	-	94	0	0	1
FLJ10618	-	-	-	54	1
FLJ10634	-	0	-	0	0
FLJ10652	978	978	978	-	1
FLJ10661	-	-	-	0	0
FLJ10769	1484	1484	1205	-	1
FLJ10853	-	-	-	1484	1
FLJ10884	-	24	0	-	1
FLJ10891	-	0	0	0	1
FLJ10901	-	-	519	-	0
FLJ10922	-	-	-	155	0
FLJ10970	-	2601	-	-	0
FLJ10996	-	7012	7012	-	1
FLJ11011	-	995	995	-	1
FLJ11021	-	0	0	0	1
FLJ11029	256	101	101	0	1
FLJ11301	0	0	-	-	1
FLJ11331	-	0	0	0	0
FLJ11506	-	-	-	0	1
FLJ12118	-	-	432	-	1
FLJ12436	-	-	-	0	1
FLJ12439	-	1953	-	-	1
FLJ12476	-	-	-	0	0
FLJ12505	-	0	-	0	1
FLJ12529	-	-	-	0	1
FLJ12572	-	-	1303	1582	0
FLJ12666	-	0	0	-	1
FLJ12735	-	-	-	0	1
FLJ12770	-	-	0	-	1
FLJ12788	-	-	0	-	1
FLJ12806	-	-	-	4	1
FLJ12886	-	-	-	0	1
FLJ12973	-	-	-	0	1
FLJ13096	-	-	597	7	0
FLJ13197	-	2074	1795	-	0
FLJ13236	-	3767	-	-	0
FLJ13273	-	-	127	-	1
FLJ13291	-	-	-	0	1
FLJ13479	-	0	-	0	1
FLJ13611	-	-	-	4419	1
FLJ13912	-	-	-	0	1
FLJ13941	-	-	-	0	0
FLJ13984	-	-	390	0	1
FLJ14001	-	-	-	0	1
FLJ14281	-	-	2504	2783	1
FLJ14346	-	-	-	0	1
FLJ14397	-	-	0	-	0
FLJ14451	-	-	-	0	1
FLJ14640	-	95	-	0	1
FLJ14816	0	0	0	-	0
FLJ14936	367	0	367	0	1
FLJ14981	-	169	-	-	1
FLJ16008	-	539	-	-	0
FLJ16517	-	0	0	-	0
FLJ16641	-	-	143	-	0
FLJ20010	-	-	0	-	0
FLJ20097	0	0	0	-	0
FLJ20130	-	-	-	78	0
FLJ20156	-	-	121	0	1
FLJ20211	-	7167	7167	-	1
FLJ20225	-	-	1018	-	0
FLJ20280	-	-	-	0	1
FLJ20297	-	-	-	0	1
FLJ20309	-	978	-	-	1
FLJ20315	-	88	0	-	0
FLJ20331	-	-	-	0	1
FLJ20364	-	-	-	0	1
FLJ20487	-	-	-	0	1
FLJ20508	-	-	-	4	1
FLJ20512	-	35	35	-	1
FLJ20516	-	0	-	0	1
FLJ20582	-	6314	6314	-	1
FLJ20618	-	-	-	4956	1
FLJ20641	-	-	-	0	1
FLJ20643	-	0	0	-	1
FLJ20758	-	-	0	-	1
FLJ21062	-	-	743	-	0
FLJ21128	-	-	-	0	1
FLJ21616	-	0	0	-	1
FLJ21816	-	-	107	-	1
FLJ21908	-	-	-	0	1
FLJ21945	-	-	0	-	1
FLJ22104	-	-	0	-	1
FLJ22313	-	-	-	0	1
FLJ22390	-	-	-	315	0
FLJ22471	-	483	483	-	0
FLJ22573	-	-	5024	-	1
FLJ22624	-	-	-	0	1
FLJ22688	-	0	0	0	0
FLJ22794	-	1359	2223	-	0
FLJ22795	-	-	0	-	1
FLJ22875	-	0	0	0	1
FLJ22955	-	5297	135	-	1
FLJ23221	-	3048	3048	-	1
FLJ23235	-	-	-	68	0
FLJ23263	0	0	0	-	0
FLJ23447	-	-	-	544	0
FLJ23451	-	-	36	-	0
FLJ23518	-	-	-	122	0
FLJ23861	-	-	708	-	0
FLJ25333	-	-	1199	-	0
FLJ25369	6216	6216	6216	-	0
FLJ25416	-	-	0	0	1
FLJ25791	1205	1205	1205	-	0
FLJ25801	-	1717	1717	-	1
FLJ30655	-	-	-	0	1
FLJ30707	-	1189	1189	-	1
FLJ30851	-	-	-	1037	0
FLJ30990	-	-	0	-	0
FLJ31153	-	-	31	-	1
FLJ31438	-	-	0	-	0
FLJ31846	-	-	-	282	0
FLJ31952	-	-	-	0	0
FLJ32001	-	-	0	-	0
FLJ32063	-	-	4345	-	0
FLJ32112	-	-	0	0	1
FLJ32312	455	455	-	-	0
FLJ32363	-	-	-	0	1
FLJ32384	-	49	0	-	1
FLJ32421	-	-	-	0	0
FLJ32447	7153	5568	2626	-	0
FLJ32499	-	76	0	-	0
FLJ32675	-	-	205	-	0
FLJ32734	-	-	-	1000	0
FLJ32825	-	5356	-	-	0
FLJ32949	-	-	-	0	0
FLJ33167	6383	6383	4704	-	0
FLJ33768	6696	-	-	-	0
FLJ33817	-	395	132	-	1
FLJ34047	-	6111	6111	-	0
FLJ35382	-	3347	-	-	1
FLJ35409	2741	7354	2963	-	0
FLJ35867	-	-	-	1072	1
FLJ35894	-	1610	-	-	0
FLJ36754	-	-	-	0	1
FLJ36812	-	-	-	0	0
FLJ36980	-	59	59	-	0
FLJ37118	-	4248	-	-	0
FLJ38725	-	-	-	423	1
FLJ38944	-	-	-	0	0
FLJ39739	-	-	753	-	0
FLJ39779	760	760	0	-	0
FLJ40113	-	-	4909	5749	0
FLJ40125	-	0	-	-	1
FLJ40629	-	-	-	0	0
FLJ40869	-	-	-	2	0
FLJ41131	-	0	0	0	1
FLJ42280	273	-	-	-	0
FLJ43582	2689	1673	1673	-	0
FLJ44186	-	-	-	0	0
FLJ44313	-	718	718	-	0
FLJ45187	2440	2440	2228	-	0
FLJ45455	-	-	547	-	1
FLJ45645	-	-	475	-	0
FLJ45832	2335	-	-	-	0
FLJ45983	-	-	806	-	0
FLJ46082	-	-	3149	3149	0
FLJ46347	1504	1504	1219	-	0
FLJ90652	-	-	-	0	1
FMO4	-	0	0	-	0
FNDC3A	-	-	-	0	1
FOXA2	5	4792	4792	-	0
FOXB1	2932	3755	521	7177	0
FOXC1	2321	-	2321	-	0
FOXD3	3922	1014	734	3922	0
FOXG1B	-	-	5816	-	0
FOXJ1	1512	-	1512	-	0
FOXJ2	-	6123	5852	-	1
FOXL2	-	1916	-	-	0
FOXM1	-	-	-	0	1
FOXN4	-	-	-	0	0
FOXO1A	6723	5729	5527	-	1
FOXO3A	-	-	1412	-	1
FOXP1	-	323	-	-	1
FOXQ1	-	-	-	679	0
FRAT2	2315	2086	2086	-	1
FRS2	-	3108	2898	-	0
FSTL5	-	-	646	-	0
FTL	-	288	-	-	1
FTLL1	6122	6022	6022	-	0
FUS	6752	6752	790	223	1
FUSIP1	-	-	-	0	1
FXR1	-	-	283	-	1
FXYD5	-	1909	1909	-	1
FZD1	-	433	-	114	1
FZD10	2446	2446	2446	-	1
FZD2	-	213	213	-	1
FZD3	-	3154	-	-	1
FZD7	-	2244	2244	-	1
FZD8	-	-	1895	407	1
G22P1	-	-	-	0	1
G3BP	-	0	-	-	1
GAB2	-	-	-	0	0
GABARAPL2	-	-	-	5330	1
GABRA5	1266	-	-	-	0
GABRG3	1433	-	1154	-	0
GABRR2	1644	-	-	-	0
GAD1	-	3171	2925	-	0
GAD2	1985	1985	1707	-	0
GADD45A	-	-	-	107	1
GADD45G	0	0	-	-	1
GADD45GIP1	-	-	-	7745	1
GALK2	-	-	0	-	1
GALNT3	2574	2769	2574	-	0
GALNT8	40	40	0	-	0
GALNTL4	-	-	6218	-	0
GANC	-	-	779	-	1
GAP43	0	-	-	-	1
GART	-	-	0	-	1
GAS	-	6590	6590	-	0
GAS1	213	-	-	-	1
GAS2L1	-	-	106	-	1
GATA3	-	-	1291	-	0
GATA4	3234	-	-	-	0
GATA6	1227	-	1227	-	1
GBA	-	-	-	0	0
GBF1	-	0	0	-	1
GBX2	2867	6781	2867	2867	0
GC20	-	-	-	0	1
GCDH	-	-	-	6053	1
GCET2	-	-	3442	-	0
GCM2	-	2318	4882	-	0
GCNT2	0	0	0	6540	0
GDAP1	-	0	-	-	1
GDF3	-	-	637	-	1
GEMIN7	-	235	0	-	0
GFRA1	0	-	-	0	0
GFRA2	-	-	-	1077	0
GGA1	-	6565	6565	-	1
GGPS1	-	0	-	-	1
GIF	-	460	-	-	0
GIT2	-	-	-	2976	0
GJA1	4186	163	0	-	1
GK2	-	1870	-	-	0
GLA	-	-	0	-	1
GLDC	2024	-	-	-	1
GLG1	-	-	178	-	1
GLI3	5013	347	0	-	0
GLUD1	-	-	1194	-	1
Gm83	-	-	344	-	1
GMNN	-	-	-	41	1
GNA13	-	4870	4870	-	1
GNA14	-	-	446	-	0
GNAI1	-	6514	6514	-	1
GNG10	328	30	0	-	1
GNG12	-	-	5680	-	1
GOLGA4	-	-	851	-	1
GOLGA6	3830	3541	3541	-	0
GOLPH4	-	-	1264	-	1
GORASP2	-	-	569	-	1
GPAM	-	-	1281	-	0
GPC3	3381	-	-	-	1
GPC4	-	-	877	-	1
GPC6	-	2025	1459	-	1
GPD2	-	-	-	0	1
GPHN	-	-	-	247	0
GPR10	18	-	-	-	0
GPR154	1117	-	1117	-	0
GPR174	-	-	-	5787	0
GPR31	-	-	5427	-	0
GPRC6A	-	760	479	-	0
GPS1	510	-	-	-	1
GRAP2	4652	4448	4448	-	0
GREB1	-	-	564	-	0
GRID2	606	829	-	-	1
GRIM19	-	-	0	-	1
GRIN3A	-	609	-	-	0
GRIPAP1	-	-	15	-	1
GRK6	-	0	-	-	1
GRM4	-	1222	1222	-	0
GRPEL2	-	-	0	-	1
GSC	2223	96	96	-	0
GSG2	-	-	-	0	0
GSH1	1035	-	-	-	0
GSH-2	5008	5008	399	-	0
GSK3A	-	0	0	0	1
GSK3B	-	1156	-	-	1
GSPT2	-	358	83	-	1
GSTT2	-	-	956	-	1
GTF2E1	-	-	7882	-	1
GTF2H2	-	-	0	-	1
GTF3C4	245	-	6444	-	1
GTF3C5	-	-	-	0	1
GTL3	-	0	-	0	1
GTPBP1	4129	-	0	0	1
GTPBP3	0	0	0	0	1
GTSE1	-	-	-	0	1
GUCY2F	3744	-	-	-	0
GYPC	-	-	681	-	1
H17	-	-	-	0	1
H2AFJ	2247	738	738	0	1
H2AFV	-	-	-	0	1
H2AFX	-	6517	6240	0	1
H2AFZ	-	-	507	507	1
H3F3B	-	0	-	-	1
HAND1	3387	6638	6358	-	0
HAND2	1178	634	634	-	0
HAS2	0	0	0	0	1
HAT1	-	-	-	0	1
HBG1	7177	7177	7177	-	0
HBG2	2253	2253	2253	-	0
HBP1	-	553	2898	-	1
HBS1L	-	-	-	0	1
HBXAP	-	0	-	0	1
HCAP-G	-	-	-	0	1
HCFC1R1	-	-	1939	0	1
HDAC11	-	-	6962	-	0
HDAC2	-	912	-	-	1
HDAC9	-	0	-	-	1
HDCMA18P	-	0	0	0	1
HDGF2	-	398	-	-	1
HDHD4	-	-	-	0	0
HDLBP	-	-	-	0	1
HEAB	-	7	-	-	1
HECTD2	-	3525	3445	-	1
HELLS	-	491	491	0	1
HEPH	-	0	-	-	1
HERC2	-	-	-	156	1
HESX1	0	0	0	-	1
HEY2	-	-	663	-	1
HGD	-	-	1084	-	0
HHAT	-	267	267	-	0
HHEX	1098	1098	1098	-	1
HHLA3	57	-	-	0	1
HIF1AN	-	0	-	-	1
HIRIP3	-	-	-	0	1
HIS1	-	80	80	0	1
HIST1H1A	-	1225	1484	3241	0
HIST1H1B	3205	1862	1862	1786	0
HIST1H1D	0	0	0	5251	0
HIST1H1E	-	-	1290	-	0
HIST1H2AB	-	-	-	1110	0
HIST1H2AE	-	0	896	0	0
HIST1H2AG	-	-	-	0	0
HIST1H2AH	-	7506	-	0	0
HIST1H2AI	-	0	-	0	0
HIST1H2AJ	-	0	-	0	0
HIST1H2AK	-	-	-	0	0
HIST1H2AL	-	0	0	0	0
HIST1H2AM	0	0	0	0	0
HIST1H2BB	-	225	-	-	0
HIST1H2BD	-	-	0	-	1
HIST1H2BE	0	0	0	-	0
HIST1H2BF	0	0	0	0	0
HIST1H2BG	-	0	1144	0	0
HIST1H2BH	-	0	0	0	0
HIST1H2BI	510	-	-	1216	0
HIST1H2BJ	-	6068	-	0	0
HIST1H2BK	-	-	-	0	0
HIST1H2BL	-	0	-	0	0
HIST1H2BM	-	45	-	0	0
HIST1H2BN	5912	-	-	0	0
HIST1H2BO	240	0	240	0	0
HIST1H3A	-	0	889	540	0
HIST1H3B	-	-	-	0	0
HIST1H3C	-	1221	-	-	0
HIST1H3D	253	0	0	0	0
HIST1H3E	-	0	0	6090	0
HIST1H3F	-	624	80	0	0
HIST1H3G	1670	-	-	0	0
HIST1H3H	-	1340	-	1235	0
HIST1H3I	755	755	755	718	0
HIST1H3J	1928	0	0	39	0
HIST1H4A	-	0	0	0	0
HIST1H4B	-	-	-	4330	0
HIST1H4C	-	0	0	0	1
HIST1H4D	-	201	482	7756	0
HIST1H4E	4658	0	0	0	0
HIST1H4F	4905	4905	5179	0	0
HIST1H4G	-	4254	3710	3337	0
HIST1H4I	-	0	-	0	0
HIST1H4K	0	-	-	0	0
HIST1H4L	1950	0	0	0	0
HIST2H2AA	-	0	0	0	1
HIST2H2AB	0	0	-	0	0
HIST2H2AC	704	0	-	164	0
HIST2H2BE	996	0	-	456	1
HIST2H3C	-	0	0	0	0
HIST2H4	0	0	0	0	0
HIST3H2A	-	320	320	0	1
HIST3H2BB	-	73	73	0	0
HIST4H4	744	1803	744	3072	0
HLA-DQA1	-	-	621	-	0
HLXB9	-	3252	3252	-	0
HMG20A	0	0	0	-	1
HMGB2	0	-	-	0	1
HMGB3	-	-	-	0	1
HMGN3	-	-	-	0	1
HMGN4	-	-	1202	-	1
HMOX1	-	3899	-	-	1
HN1	447	0	0	-	1
HNRPA1	-	0	0	0	1
HNRPA2B1	-	116	186	0	1
HNRPAB	-	-	-	0	1
HNRPC	-	46	-	46	1
HNRPD	-	-	-	521	1
HNRPH2	-	-	59	-	1
HNRPH3	-	-	-	94	1
HNRPK	-	1748	-	-	1
HNRPL	-	240	-	-	1
HNRPLL	-	-	-	165	1
HNRPR	-	-	-	50	1
HNRPU	-	-	-	0	1
HNRPUL1	-	0	0	0	1
HOP	5942	5942	5942	-	0
HOXA1	-	3287	645	-	0
HOXA13	5810	-	-	-	0
HOXA3	2297	-	-	-	0
HOXA4	637	-	-	-	0
HOXA6	7473	-	-	-	0
HOXA7	221	-	-	-	0
HOXA9	1232	-	-	-	0
HOXB1	0	0	0	-	0
HOXB13	-	4347	1201	-	0
HOXB3	6846	124	124	-	0
HOXB4	2952	-	-	-	0
HOXB5	2758	-	2117	-	1
HOXB6	210	-	1940	-	0
HOXB9	-	-	5435	-	0
HOXC12	867	-	-	-	0
HOXC4	1313	1313	476	-	0
HOXD1	-	-	615	-	0
HOXD11	2737	-	3015	-	0
HOXD12	-	-	5258	-	0
HOXD13	-	3642	1198	-	0
HPCL2	-	-	-	297	1
HPRP8BP	-	-	-	16	1
HPSE2	-	0	0	-	0
HRB2	-	-	0	-	1
HRBL	-	-	-	0	0
HRG	-	-	1731	-	0
HRMT1L6	-	-	-	0	1
HSC20	5032	5032	5032	291	0
HSD17B12	-	0	0	0	1
HSD17B8	-	-	-	4185	1
HSFY2	-	-	-	5318	0
HSPA4	-	-	21	-	1
HSPA5	-	-	0	-	1
HSPA8	-	-	-	320	1
HSPBAP1	-	-	251	-	1
HSPC016	-	-	-	17	1
HSPC111	-	-	0	-	1
HSPC129	-	-	-	0	1
HSPC138	-	0	-	-	1
HSPC150	-	0	0	0	1
HSPC171	-	-	2181	0	1
HSPC196	-	-	-	262	1
HSPC268	-	0	821	523	0
HSPCA	2026	-	2026	-	1
HSPCB	-	0	-	-	1
hSyn	5009	83	2742	83	1
HTF9C	-	-	-	57	0
HTLF	-	-	-	140	0
HTPAP	-	1156	-	-	1
HTR2B	-	-	301	-	0
HTR2C	2228	-	-	-	0
HUMMLC2B	-	3750	3750	3896	0
HYPE	2791	2791	-	-	1
HYPK	-	-	-	3763	1
ICMT	3422	3221	3422	-	1
ID1	-	820	820	-	1
ID2	694	-	3709	-	1
IDH3A	-	-	1345	-	1
IDH3G	-	0	-	-	1
IER2	-	-	-	638	1
IER3IP1	-	-	-	0	1
IER5L	526	526	526	-	1
IFI16	2580	2053	2053	-	1
IFIH1	2572	2572	2572	-	0
IFRG28	-	7476	7476	-	0
IGFBP2	-	584	584	-	1
IGFBP3	-	-	2381	-	1
IK	-	0	-	-	1
IL12A	-	6556	-	-	0
IL1RAPL1	688	-	688	-	1
IL22RA2	-	-	1192	-	0
IL23A	-	-	-	4655	0
IL2RG	6495	6350	6350	-	0
IL4I1	-	-	-	448	0
ILF2	-	0	0	-	1
ILF3	-	0	0	0	1
IMAA	-	698	698	-	1
IMP-1	-	1470	1751	-	0
IMP-3	-	0	0	0	1
ING1	-	-	7076	-	1
ING4	-	0	0	-	1
INHA	5730	6328	5730	-	0
INHBA	-	1031	-	-	1
INHBC	-	-	-	3263	1
INM01	-	542	542	-	1
INPP4A	-	-	1243	-	1
INSM1	1959	1959	1959	-	0
IPF1	1909	2189	2189	-	0
IPLA2(GAMMA)	-	-	-	0	1
IPMK	-	-	790	-	0
IPO8	-	-	-	0	1
IQCB1	-	-	-	0	1
IQCE	-	-	-	2311	0
IQGAP3	-	-	-	0	1
IQSEC2	-	1278	1053	-	0
IRX2	81	844	844	-	1
IRX5	-	-	-	201	0
ISL1	358	3363	358	-	0
ISL2	3	-	-	-	0
ISOC2	-	-	3106	-	1
ITGA7	-	-	-	7729	1
ITGB1	-	-	3392	-	1
ITGB3BP	-	-	-	0	1
ITIH5L	5775	5775	-	-	0
JARID2	385	64	2426	-	1
JMJD1A	218	0	0	-	1
JRKL	-	-	-	873	0
JUB	-	167	167	-	1
JUN	-	-	0	0	1
JUND	0	-	-	-	1
JUP	7078	8	7078	-	1
K-ALPHA-1	-	-	-	0	1
KATNAL2	-	20	-	-	0
KATNB1	-	-	1492	-	1
KAZALD1	-	-	-	29	0
KBTBD10	-	1495	1495	-	0
KBTBD6	-	-	-	0	1
KBTBD7	-	-	-	0	1
KCNA1	-	-	-	1469	0
KCNH4	-	-	-	0	0
KCNH5	1269	1009	-	-	0
KCNH8	-	686	966	966	0
KCNJ1	-	3181	3181	-	0
KCNJ4	-	-	6522	-	0
KCNJ6	-	0	-	-	0
KCNK1	-	-	-	0	1
KCNMB2	-	0	0	-	0
KCNMB4	5054	5054	-	-	1
KCNN2	1644	0	1380	-	1
KCNN3	3255	2995	-	-	0
KCNQ1DN	-	1425	1425	-	0
KCTD13	-	-	-	70	0
KCTD15	-	-	1068	-	1
KCTD2	-	-	4900	-	1
KCTD9	-	-	-	382	1
KDELR3	-	-	6235	-	1
KDR	6593	6316	6593	-	1
KENAE	-	-	-	2482	0
KHDRBS1	-	-	5417	-	1
KHSRP	-	-	218	-	1
KIAA0056	-	-	-	0	1
KIAA0063	849	-	5207	4927	1
KIAA0101	1216	-	1216	0	1
KIAA0117	-	-	-	54	1
KIAA0152	-	-	-	97	1
KIAA0174	0	-	-	0	1
KIAA0241	-	-	5044	5004	1
KIAA0247	-	372	-	-	1
KIAA0251	-	-	-	0	1
KIAA0406	-	-	-	8	1
KIAA0495	-	0	-	-	1
KIAA0586	-	300	-	-	0
KIAA0652	-	-	0	-	1
KIAA0701	-	-	-	0	1
KIAA0738	-	4534	4534	-	1
KIAA0773	-	-	6277	-	1
KIAA0895	-	-	-	0	1
KIAA0962	-	41	41	1992	1
KIAA1002	-	-	-	0	1
KIAA1143	0	0	0	0	1
KIAA1164	-	0	0	0	1
KIAA1166	-	0	-	-	1
KIAA1217	-	-	919	-	1
KIAA1229	-	0	0	-	1
KIAA1279	0	0	-	0	1
KIAA1280	-	-	3611	-	1
KIAA1344	-	-	-	109	1
KIAA1468	-	200	-	-	0
KIAA1505	-	0	0	0	0
KIAA1529	0	-	-	-	0
KIAA1573	-	1499	1499	-	1
KIAA1586	-	-	-	0	1
KIAA1623	2243	2243	1938	2243	1
KIAA1683	7039	-	-	-	0
KIAA1715	-	-	-	0	0
KIAA1754	-	169	0	-	0
KIAA1764	-	-	-	0	1
KIAA1799	-	-	-	27	0
KIAA1853	0	0	-	-	0
KIAA1919	4548	4548	4548	-	0
KIAA1972	-	-	6990	-	1
KIF11	-	1349	-	0	1
KIF13A	-	532	812	0	0
KIF15	0	0	0	0	1
KIF18A	-	-	-	0	1
KIF20A	-	-	-	0	1
KIF22	-	-	-	0	1
KIF2C	-	0	-	0	1
KIF9	-	-	1031	-	1
KITLG	301	790	790	301	0
KLF15	-	-	5075	-	0
KLF5	3447	3447	3447	-	1
KLF6	-	-	809	-	0
KLF7	1333	-	274	-	1
KLHDC1	-	-	-	4794	0
KLHL10	-	-	-	2111	0
KLHL13	-	0	0	-	0
KLHL14	283	-	-	-	0
KLHL18	-	-	591	-	1
KLHL4	15	-	15	-	1
KLHL5	0	0	0	-	1
KLRA1	6640	-	-	-	0
KNTC1	-	0	0	0	1
KPNA3	-	511	511	6	1
KRT12	-	6651	6651	-	0
KRT18	-	-	2845	-	1
KRTAP13-3	-	547	178	-	0
KRTAP13-4	-	3188	3188	-	0
KRTAP19-6	428	-	-	-	0
KRTAP3-1	608	-	0	-	0
LAMA4	612	340	108	-	1
LARGE	2392	2392	2392	-	1
LARS	-	-	0	-	1
LASP1	-	1697	-	-	1
LAT1-3TM	-	693	693	-	1
LBP	3564	3564	3564	-	0
LBX1	32	32	32	-	0
LCMT2	-	-	0	0	1
LDHA	-	-	-	0	1
LDOC1	-	-	-	4281	1
LECT1	-	-	850	-	1
LEF1	608	-	2505	-	0
LEFTY1	-	653	653	-	1
LEFTY2	4499	4107	4107	-	1
LENG9	-	138	-	-	0
LEPROTL1	-	-	7505	-	1
LETM2	-	22	22	-	0
LGALS13	5514	-	-	-	0
LGI1	454	454	454	-	0
LHFPL1	-	0	-	-	0
LHPP	7128	7128	7128	-	1
LHX1	1125	-	1125	-	0
LHX2	563	5417	5417	-	0
LHX4	-	-	739	-	0
LHX5	6103	6103	6358	-	0
LHX8	-	1442	-	-	0
LIAS	-	133	-	-	0
LIM2	-	6157	6157	6157	0
LIPI	-	-	-	2721	0
LMCD1	-	-	1608	-	1
LMNB1	-	-	-	0	1
LMO3	-	2425	2425	-	0
LMO6	-	4553	-	-	0
LOC112937	-	-	2789	-	0
LOC113828	-	-	0	-	0
LOC115509	-	-	0	0	0
LOC116238	-	-	1328	-	1
LOC124402	-	-	1072	0	1
LOC124491	7164	7164	7164	0	1
LOC126147	-	-	1294	-	0
LOC127253	-	-	370	-	1
LOC130951	-	-	0	-	0
LOC132321	-	-	-	0	0
LOC134145	-	-	-	0	0
LOC137392	-	-	238	-	1
LOC148898	-	-	1391	-	1
LOC151963	-	-	531	-	0
LOC153364	1906	1906	1906	-	0
LOC153684	-	-	1370	-	0
LOC162427	-	0	0	0	1
LOC169355	0	0	0	-	0
LOC196394	-	-	3647	-	0
LOC200008	-	-	0	0	0
LOC201895	-	320	-	-	0
LOC220074	-	-	-	0	0
LOC220869	-	-	0	3108	0
LOC221711	-	1915	0	-	0
LOC283337	5066	5066	5066	-	0
LOC283377	-	-	-	0	0
LOC283932	-	0	-	-	0
LOC338761	-	5411	-	-	0
LOC339448	-	193	-	202	1
